,Products bought by the customer,New products bought by the customer
Customer_813,Krem şanti;Jelibon;El mantısı;Pizza;Ketçap;Pizza;Diş fırçası;Patates;Tarçın;Çörek otu;Diş fırçası;Güneş kremi;Acı Sos;Nar ekşisi;Saç kremi;Makarna;Kurabiye;Güneş kremi;Susam,Peeling krem
Customer_810,Sirke;Böğürtlen;Acı Sos;Kırı üzüm;Tavuk Bulyon;Köfte;Bisküvi;Fasulye turşu;Patlıcan;Kuru kayısı;Nar ekşisi;Nohut;Fasulye turşu;Soya sosu;Un;Sarımsak sosu;İçli Köfte;Viski;Erişte,Kurutulmuş Kivi
Customer_89,Köfte;Böğürtlen;Cips;Kuru üzüm;Kırmızı şarap;Ton balığı;Patlıcan;Susam;Yoğurt;El mantısı;Ihlamur;Kahve likörü;Nar ekşisi;Yer fıstığı;Karabiber;Nane likörü;Nohut;Limon sos;Çörek otu;Bira;Acı Sos;Zeytinyağı,Karamelli likör
Customer_351,Sirke;Toz şeker;Jelibon;Kuru dut;Acı Sos;Biber salçası;Krem şanti;Karides;Sarımsak sosu;Böğürtlen;Çörek otu;Yoğurt;Susam;Makarna;Çikolata;Şehriye;Kuru üzüm;Kırı üzüm;Kırmızı mercimek;Kurabiye;Un,Kurutulmuş Kivi
Customer_368,Kurabiye;Soya sosu;Patates;Yoğurt;Bezelye;Acı Sos;Tarçın;Susam;Nane likörü;Nohut;Böğürtlen;Kırı üzüm;Domates salçası;El mantısı;Kuru dut;Yer fıstığı;Tarçın;Krem şanti;Baldo pirinç;Bezelye,Kurutulmuş Kivi
Customer_516,Nar ekşisi;Patlıcan;Nohut;Sarımsak sosu;Ayçiçek yağı;Krem şanti;El mantısı;Karabiber;Cips;Sirke;Baldo pirinç;Kuru dut;Baldo pirinç;El mantısı;Jelibon;Nane likörü;Kurabiye;Yer fıstığı,Kurutulmuş Kivi
Customer_655,Domates salçası;Susam;Erişte;El mantısı;Baldo pirinç;Milföy;Patlıcan;Güneş kremi;Bezelye;Jelibon;Yulaf;Karabiber;Makarna;Diş macunu;Şehriye;Ketçap;Makarna;Yoğurt;Saç boyası;Soya sosu;Diş fırçası;Patlıcan;Şampuan,Peeling krem
Customer_857,Kırmızı mercimek;Nohut;Acı Sos;Sirke;Bira;Biber salçası;Kırmızı mercimek;Zeytinyağı;Kuru dut;Nane likörü;Milföy;Şehriye;Kurabiye;Un;Kahve likörü;Susam;Garnitür;Baldo pirinç,Kurutulmuş Kivi
Customer_639,Yoğurt;Ketçap;İçli Köfte;Kalamar;Kırmızı mercimek;Soya sosu;Nohut;Kırmızı şarap;Milföy;Beyaz şarap;Yer fıstığı;Kalem;Nohut;El mantısı;Patlıcan;Viski;Şehriye;Nane likörü;Tavuk Bulyon;Şehriye;Karabiber;Kahve likörü,Karamelli likör
Customer_106,Kırı üzüm;İçli Köfte;Keçi boynuzu;Meksika fasülyesi;Nar ekşisi;Kuru İncir;Köfte harcı;Tarçın;Çörek otu;Kalamar;Domates salçası;Biber salçası;Ton balığı;Ihlamur;Karides;Patates;Yeşil çay;Kurabiye;Soya sosu;Krem şanti;Baldo pirinç;Sirke;Tavuk Bulyon;Yoğurt;Acı Sos,Kinoa tohumu
Customer_23,Vücut losyonu;Fasulye turşu;Biber salçası;Yoğurt;Diş macunu;Nohut;Krem şanti;Garnitür;Domates salçası;Yer fıstığı;Milföy;Közlenmiş biber;Soya sosu;Un;Karabiber;Kuru dut;Közlenmiş biber;Makarna;Karides,Peeling krem
Customer_704,Ayçiçek yağı;Kırmızı mercimek;Kurabiye;Böğürtlen;Közlenmiş biber;Yer fıstığı;Acı Sos;Kuru dut;Böğürtlen;Krem şanti;Acı Sos;El mantısı;Çörek otu;Meksika fasülyesi;Karabiber;Yeşil çay;Patlıcan;Jelibon,Kinoa tohumu
Customer_40,Kuru dut;Pizza;Soya sosu;Kalem;Biber salçası;Erişte;Garnitür;Sirke;Sarımsak sosu;Limon sos;Fasulye turşu;Karabiber;Bezelye;Nemlendirici bakım kremi;Diş fırçası;Zeytinyağı;Közlenmiş biber;Kurabiye;Köfte harcı;Bezelye;Böğürtlen;Tavuk Bulyon,Peeling krem
Customer_604,El mantısı;Yer fıstığı;Karides;Biber salçası;Tavuk Bulyon;Susam;İçli Köfte;Soya sosu;Sarımsak sosu;Çörek otu;Kırmızı mercimek;Beyaz şarap;Közlenmiş biber;Köfte harcı;Kalem;Kuru dut;Un;Kırmızı şarap;Kuru kayısı;Nar ekşisi;Acı Sos;Köfte harcı;Sirke,Kurutulmuş Kivi
Customer_983,Tarçın;İçli Köfte;Karides;Bezelye;Kalem;Kuru üzüm;Köfte harcı;Sarımsak sosu;Cips;Garnitür;Patlıcan;Tavuk Bulyon;Köfte;Zeytinyağı;Acı Sos;Meksika fasülyesi;Domates salçası;Yulaf;Çikolata;Milföy;Un,Karamelli likör
Customer_239,Bira;Tavuk Bulyon;Bezelye;Karides;Karides;Közlenmiş biber;Sarımsak sosu;Viski;Böğürtlen;Un;Tarçın;Susam;Pizza;Limon sos;Erişte;Kuru üzüm;Yoğurt;Yoğurt;Patlıcan;Limon sos;Ayçiçek yağı,Karamelli likör
Customer_661,Milföy;Nemlendirici bakım kremi;Kuru kayısı;Ayçiçek yağı;Sirke;Kalamar;Diş fırçası;Yoğurt;Şampuan;Kurabiye;Soya sosu;Şehriye;Soya sosu;Krem şanti;Makarna;Nar ekşisi;Zeytinyağı;Limon sos;Susam;Zeytinyağı,Peeling krem
Customer_908,Tarçın;Bisküvi;Toz şeker;Soya sosu;Kuru İncir;Pizza;Kuru dut;Toz şeker;Karabiber;Ketçap;Kırı üzüm;Milföy;Karides;Kuru kayısı;Çörek otu,Kurutulmuş Kivi
Customer_670,El mantısı;Kalamar;Erişte;Yulaf;Karides;Ton balığı;Jelibon;Beyaz şarap;Makarna;Yer fıstığı;Acı Sos;Tarçın;Meksika fasülyesi;Bisküvi;Şehriye;Limon sos;Patlıcan;Sirke;Kalem;Un,Kinoa tohumu
Customer_548,Yoğurt;Böğürtlen;Nar ekşisi;Soya sosu;Nane likörü;Karides;Sarımsak sosu;Toz şeker;Susam;Zeytinyağı;Kırı üzüm;Çikolata;Fasulye turşu;Un;Kahve likörü;Kalamar,Kurutulmuş Kivi
Customer_649,Kırmızı mercimek;Fasulye turşu;Acı Sos;Çörek otu;Biber salçası;Fasulye turşu;Köfte;Acı Sos;Tarçın;Kuru kayısı;Kırı üzüm;Nohut;El mantısı;Krem şanti;Kuru İncir;Erişte;Sirke;Soya sosu;Domates salçası,Kurutulmuş Kivi
Customer_772,Zeytinyağı;Ketçap;Makarna;Diş macunu;Saç boyası;Karabiber;Susam;Vücut losyonu;Böğürtlen;Erişte;Çörek otu;Acı Sos;Ayçiçek yağı;Domates salçası;Susam;Kuru İncir;Fasulye turşu,Peeling krem
Customer_510,Diş macunu;Patates;Ihlamur;Biber salçası;Jelibon;Patlıcan;Diş fırçası;Biber salçası;İçli Köfte;Şampuan;Ayçiçek yağı;Domates salçası;Papatya çayı;Garnitür;Soya sosu;Kalem;Limon sos;Köfte harcı;Sarımsak sosu;Nemlendirici bakım kremi;Vücut losyonu;Kurabiye;Baldo pirinç;Köfte harcı;Tavuk Bulyon;Karabiber,Peeling krem
Customer_184,Zeytinyağı;Nohut;Papatya çayı;Fasulye turşu;Zeytinyağı;Jelibon;Milföy;Patates;Domates salçası;El mantısı;Biber salçası;Patlıcan;Kırmızı mercimek;Karabiber;Yoğurt;Limon sos;Nemlendirici bakım kremi;Şampuan;Tarçın;Makarna;Karabiber,Peeling krem
Customer_874,Köfte harcı;Kurabiye;Karabiber;Güneş kremi;Köfte;Yer fıstığı;Nar ekşisi;Krem şanti;Bezelye;Makarna;Saç kremi;Domates salçası;Toz şeker;Biber salçası;Şampuan;Diş macunu;Kırmızı mercimek,Peeling krem
Customer_804,Kalem;Milföy;Limon sos;Kırmızı şarap;Nohut;Bisküvi;Un;Bezelye;Karabiber;Bezelye;Patates;Jelibon;Köfte harcı;Kuru dut;İçli Köfte;Fasulye turşu;Domates salçası;Makarna,Kurutulmuş Kivi
Customer_103,Ayçiçek yağı;Ihlamur;Fasulye turşu;Çörek otu;Diş fırçası;Susam;Karides;Nar ekşisi;Tavuk Bulyon;Patates;Un;Kalamar;Yulaf;Köfte;Közlenmiş biber;Şampuan;Çörek otu;Kurabiye;Vücut losyonu;Güneş kremi;Ketçap;Saç boyası,Peeling krem
Customer_993,Şampuan;Nohut;Garnitür;Sarımsak sosu;Krem şanti;Yoğurt;Susam;Karabiber;Saç kremi;Soya sosu;Acı Sos;Diş macunu;Yer fıstığı;Kalem;Garnitür;Domates salçası;Tavuk Bulyon;Diş fırçası;Közlenmiş biber;Saç boyası;Kuru dut;Nemlendirici bakım kremi;Erişte;Limon sos;Fasulye turşu;Milföy,Peeling krem
Customer_824,Közlenmiş biber;Karides;Bisküvi;Karabiber;Kalem;Acı Sos;Közlenmiş biber;Nane likörü;Un;Nemlendirici bakım kremi;Tarçın;Limon sos;Karides;Güneş kremi;İçli Köfte;Ketçap;Milföy,Peeling krem
Customer_22,Nar ekşisi;Kalem;Susam;Şehriye;Domates salçası;Sirke;Zeytinyağı;Bira;Limon sos;Toz şeker;Közlenmiş biber;Baldo pirinç;Karabiber;Jelibon;Nohut;Böğürtlen;Kahve likörü;Vücut losyonu;Baldo pirinç;Zeytinyağı;Saç boyası;Ketçap;Erişte;Nohut,Karamelli likör
Customer_384,Kuru kayısı;Kırmızı şarap;Garnitür;Acı Sos;Sarımsak sosu;Krem şanti;Biber salçası;Kırı üzüm;Bezelye;Limon sos;Cips;Yer fıstığı;Köfte;Tavuk Bulyon;Kalem;Karides;Çörek otu;Kırmızı mercimek;Çikolata;Beyaz şarap;Çörek otu;Köfte harcı;El mantısı;Köfte harcı;Kurabiye,Karamelli likör
Customer_505,Patates;İçli Köfte;Cips;Kırmızı mercimek;Zeytinyağı;Köfte;Bisküvi;Domates salçası;Kurabiye;Çörek otu;Baldo pirinç;Köfte harcı;Jelibon;Garnitür;Susam;Pizza;Çikolata;Erişte;Viski;Böğürtlen;Tavuk Bulyon;Böğürtlen;Bira;Kuru üzüm,Karamelli likör
Customer_701,Şehriye;Kırı üzüm;Milföy;Viski;Toz şeker;Soya sosu;Erişte;Yoğurt;Nar ekşisi;Kuru dut;Sirke;Patates;Patlıcan;Közlenmiş biber;Kahve likörü;Böğürtlen,Kurutulmuş Kivi
Customer_507,Şampuan;Sirke;Kuru üzüm;Jelibon;İçli Köfte;Saç boyası;Karides;Bezelye;Tavuk Bulyon;Un;Nar ekşisi;Patates;Pizza;Tarçın;Patlıcan;Biber salçası;Çörek otu;Nemlendirici bakım kremi;Acı Sos;Toz şeker;Acı Sos;Karides;Soya sosu;Nohut;Makarna;Köfte harcı;Milföy,Peeling krem
Customer_700,Yulaf;Yoğurt;Meksika fasülyesi;Meksika fasülyesi;Sarımsak sosu;Baldo pirinç;Yer fıstığı;Biber salçası;Garnitür;Ton balığı;Toz şeker;Ketçap;Şehriye;Kalem;Yoğurt;Çörek otu;Jelibon;Ayçiçek yağı;İçli Köfte,Kinoa tohumu
Customer_267,Tavuk Bulyon;Krem şanti;Beyaz şarap;Kalamar;Tarçın;Köfte;Çörek otu;Kuru kayısı;Garnitür;Kuru üzüm;Kalem;Patlıcan;Kalem;Un;Közlenmiş biber;Kırmızı mercimek;Zeytinyağı;Limon sos,Karamelli likör
Customer_984,Diş fırçası;Acı Sos;Fasulye turşu;Kırı üzüm;Baldo pirinç;Güneş kremi;Domates salçası;Biber salçası;Saç boyası;Şampuan;Kalem;Yoğurt;Tarçın;Biber salçası;Un;Diş macunu;Tavuk Bulyon;Köfte;Acı Sos;Saç kremi;Nar ekşisi;Jelibon;Yoğurt;Ayçiçek yağı;Zeytinyağı;Kuru İncir;El mantısı,Peeling krem
Customer_246,Cips;Sarımsak sosu;Limon sos;Sarımsak sosu;Keçi boynuzu;Biber salçası;Yoğurt;Yer fıstığı;Kırmızı mercimek;Ton balığı;Patates;Çikolata;Milföy;Garnitür;Yeşil çay;Şehriye;Ayçiçek yağı;Fasulye turşu;Papatya çayı;Krem şanti;Ayçiçek yağı;Susam,Kinoa tohumu
Customer_151,Yeşil çay;Pizza;El mantısı;Köfte harcı;Susam;Şehriye;Kırmızı mercimek;Jelibon;Un;Köfte harcı;Yoğurt;Tavuk Bulyon;Susam;Ton balığı;Soya sosu;Toz şeker;Bezelye;Diş fırçası;Nar ekşisi;Saç boyası;Garnitür;Bezelye;Meksika fasülyesi,Kinoa tohumu
Customer_309,Bira;Ihlamur;Kırmızı mercimek;Toz şeker;Köfte harcı;Makarna;Kurabiye;Soya sosu;Meksika fasülyesi;Erişte;Nohut;Cips;Sirke;Közlenmiş biber;El mantısı;Beyaz şarap;Acı Sos,Karamelli likör
Customer_610,Susam;Şehriye;Meksika fasülyesi;Diş fırçası;Kurabiye;Fasulye turşu;Köfte;Karides;Soya sosu;Ayçiçek yağı;Jelibon;Sirke;Ketçap;Bezelye;El mantısı;Patlıcan,Kinoa tohumu
Customer_530,Milföy;Nar ekşisi;Garnitür;Saç kremi;Böğürtlen;Kuru kayısı;Patlıcan;Domates salçası;Ketçap;Acı Sos;Erişte;Tavuk Bulyon;Çörek otu;Karabiber;Kalamar;Fasulye turşu;Susam;El mantısı;Tarçın;Milföy;Makarna,Kurutulmuş Kivi
Customer_688,İçli Köfte;Nohut;Krem şanti;Un;Milföy;Kuru İncir;Kahve likörü;Tavuk Bulyon;Viski;İçli Köfte;Çikolata;Patlıcan;Şehriye;Soya sosu;Fasulye turşu;Sarımsak sosu;Bira;Karabiber;Toz şeker;Yer fıstığı,Karamelli likör
Customer_416,Garnitür;Domates salçası;Nohut;Kuru dut;Milföy;Susam;Kuru kayısı;El mantısı;Böğürtlen;Tavuk Bulyon;Ketçap;Patlıcan;Közlenmiş biber;Toz şeker;Kuru dut;Pizza;Bisküvi;Zeytinyağı;Sarımsak sosu;Acı Sos;Bisküvi;Milföy;Nohut,Kurutulmuş Kivi
Customer_831,Keçi boynuzu;Papatya çayı;Nar ekşisi;Kuru İncir;Çörek otu;Yoğurt;Köfte;Nar ekşisi;Kırmızı mercimek;Fasulye turşu;Karabiber;Makarna;Ayçiçek yağı;Un;Közlenmiş biber;Kalem,Kinoa tohumu
Customer_658,Ihlamur;Viski;Bisküvi;Ton balığı;Ketçap;Çörek otu;Papatya çayı;Köfte;Makarna;Milföy;Tavuk Bulyon;Baldo pirinç;Domates salçası;Kalem;Karides;Soya sosu;Karabiber;Kırmızı mercimek;Çikolata,Kinoa tohumu
Customer_53,Limon sos;Kahve likörü;Kalamar;Bezelye;Çikolata;Beyaz şarap;Toz şeker;Saç boyası;Kırmızı mercimek;Garnitür;Soya sosu;Bira;Ayçiçek yağı;Kırmızı şarap;Susam;Krem şanti;Ayçiçek yağı;İçli Köfte;El mantısı,Karamelli likör
Customer_570,Krem şanti;Susam;Soya sosu;Yulaf;Bezelye;Pizza;Karabiber;Ton balığı;Jelibon;Susam;Milföy;Patlıcan;El mantısı;Köfte;Papatya çayı;Ihlamur;Garnitür,Kinoa tohumu
Customer_798,Kuru dut;Köfte harcı;İçli Köfte;Makarna;El mantısı;Ayçiçek yağı;Kırmızı mercimek;Pizza;Un;Papatya çayı;İçli Köfte;Baldo pirinç;Karides;Çörek otu;Nohut;Makarna;Biber salçası;Kalem;Domates salçası,Kurutulmuş Kivi
Customer_432,Milföy;Makarna;Yoğurt;Patlıcan;Böğürtlen;Susam;Vücut losyonu;Tavuk Bulyon;Kalamar;Şehriye;Tarçın;Jelibon;Jelibon;Biber salçası;Kuru üzüm;Saç boyası;Toz şeker;Limon sos;Köfte harcı;Nemlendirici bakım kremi;Yer fıstığı,Peeling krem
Customer_218,Kuru kayısı;Kırı üzüm;Makarna;Tavuk Bulyon;Susam;Patlıcan;Un;Nar ekşisi;Kırmızı mercimek;Garnitür;Bisküvi;Köfte;Soya sosu;Krem şanti;Baldo pirinç;Nar ekşisi;Kuru kayısı;Karabiber;Limon sos;Toz şeker;Kalem,Kurutulmuş Kivi
Customer_304,Keçi boynuzu;Susam;Pizza;Şehriye;Güneş kremi;Kırmızı mercimek;Vücut losyonu;Karides;Limon sos;Krem şanti;Saç kremi;Diş macunu;Un;Tavuk Bulyon;Nohut;Közlenmiş biber;Köfte;Şampuan;Tavuk Bulyon;Milföy;Kırmızı mercimek;Karabiber;Köfte;Köfte harcı;Biber salçası;Yeşil çay,Peeling krem
Customer_51,Nohut;Makarna;Vücut losyonu;Erişte;Köfte;Fasulye turşu;Ketçap;Kırı üzüm;İçli Köfte;Susam;Tarçın;Un;Patates;Nohut;Kalem;Nar ekşisi;Baldo pirinç;Yoğurt;Nemlendirici bakım kremi;Bezelye;Saç boyası;Milföy;Jelibon,Peeling krem
Customer_840,Erişte;Erişte;Kalem;Ihlamur;El mantısı;Domates salçası;Makarna;Köfte harcı;Çörek otu;Kırı üzüm;Kurabiye;Zeytinyağı;El mantısı;Nar ekşisi;Sarımsak sosu;Un;İçli Köfte;Fasulye turşu;Limon sos;Garnitür;Böğürtlen;Milföy,Kurutulmuş Kivi
Customer_629,Patates;Sarımsak sosu;Közlenmiş biber;Tarçın;Kırmızı mercimek;Garnitür;Saç boyası;Yer fıstığı;Güneş kremi;Jelibon;Karides;İçli Köfte;Baldo pirinç;Şampuan;Toz şeker;Kırmızı mercimek;Bezelye;Çörek otu;Zeytinyağı,Peeling krem
Customer_939,Kurabiye;Çikolata;Kırmızı şarap;Sarımsak sosu;Nane likörü;Erişte;Kahve likörü;Sarımsak sosu;Kırmızı mercimek;Bisküvi;Beyaz şarap;Kuru üzüm;Toz şeker;Acı Sos;Susam;Yoğurt;Köfte harcı;Limon sos;Baldo pirinç;Krem şanti;Ketçap;Beyaz şarap,Karamelli likör
Customer_651,Keçi boynuzu;Közlenmiş biber;Fasulye turşu;Patates;Erişte;Köfte harcı;Sirke;Karides;Patlıcan;Diş fırçası;Karides;Domates salçası;Un;Böğürtlen;El mantısı;Patates;Soya sosu,Peeling krem
Customer_619,Jelibon;Soya sosu;Biber salçası;Garnitür;Ayçiçek yağı;Patates;Nar ekşisi;Bezelye;Ketçap;Kırmızı mercimek;Kuru kayısı;Susam;Kahve likörü;Kuru dut;Köfte harcı;Nohut;Bisküvi;Makarna,Kurutulmuş Kivi
Customer_614,Milföy;Köfte harcı;Bezelye;Susam;Kuru kayısı;Soya sosu;Toz şeker;Bisküvi;Nane likörü;Kırı üzüm;El mantısı;Garnitür;Çörek otu;Susam;Karabiber;Kalamar;Un,Kurutulmuş Kivi
Customer_493,Kuru dut;El mantısı;Kalem;Biber salçası;Nohut;Kuru kayısı;Bisküvi;Baldo pirinç;Kurabiye;Sirke;Nar ekşisi;Zeytinyağı;Sirke;Sarımsak sosu;Kırı üzüm;Közlenmiş biber;Toz şeker;Kırı üzüm;Köfte;Jelibon,Kurutulmuş Kivi
Customer_428,Bezelye;Baldo pirinç;Garnitür;Bira;Yoğurt;Cips;Şehriye;İçli Köfte;Yer fıstığı;Çikolata;Çikolata;Toz şeker;Pizza;Közlenmiş biber;Nane likörü;Zeytinyağı;El mantısı;Karabiber;İçli Köfte;Garnitür;Kırmızı şarap,Karamelli likör
Customer_262,Nohut;Köfte;Közlenmiş biber;Şehriye;Yer fıstığı;Meksika fasülyesi;Cips;Yulaf;Toz şeker;Acı Sos;Krem şanti;Tarçın;Kırmızı mercimek;Baldo pirinç;Nar ekşisi;Keçi boynuzu;Makarna;Zeytinyağı;Pizza;Acı Sos;Papatya çayı;Köfte harcı;Ton balığı;Toz şeker,Kinoa tohumu
Customer_664,Patates;Domates salçası;Zeytinyağı;Kırmızı mercimek;Ketçap;Kuru İncir;Milföy;Toz şeker;Erişte;İçli Köfte;Tarçın;Kalamar;Nar ekşisi;Vücut losyonu;Makarna;Şampuan;Bisküvi;Köfte;Kırı üzüm;Nemlendirici bakım kremi;Diş fırçası;Saç kremi;Diş macunu;Böğürtlen;Un;Garnitür,Peeling krem
Customer_785,Makarna;Vücut losyonu;Karabiber;Yer fıstığı;Çörek otu;Biber salçası;Papatya çayı;Yoğurt;Domates salçası;Karides;Toz şeker;Nohut;Diş fırçası;Tavuk Bulyon;Yeşil çay;Kalem;Sirke;Zeytinyağı;Erişte;Makarna;Nemlendirici bakım kremi;Şehriye;Ketçap;Kırmızı mercimek;Saç kremi,Peeling krem
Customer_750,Ayçiçek yağı;Toz şeker;Bisküvi;Baldo pirinç;Susam;Limon sos;Karabiber;Kırı üzüm;Milföy;Kuru İncir;Garnitür;Meksika fasülyesi;Sirke;Jelibon;Ton balığı;Pizza,Kurutulmuş Kivi
Customer_659,Bira;Çörek otu;Nane likörü;Kahve likörü;Soya sosu;Çörek otu;Karides;Közlenmiş biber;Susam;Kuru üzüm;Tavuk Bulyon;Çikolata;Kırmızı şarap;Viski;Karides;Nane likörü;Fasulye turşu;Erişte;Zeytinyağı;Bisküvi;Ayçiçek yağı;Nohut,Karamelli likör
Customer_920,Milföy;Ton balığı;Sirke;Erişte;Un;Yulaf;Milföy;Şehriye;İçli Köfte;Makarna;Susam;Yoğurt;Biber salçası;Yeşil çay;Nemlendirici bakım kremi;Kalem;Papatya çayı;Ihlamur;Şampuan,Kinoa tohumu
Customer_702,Garnitür;Toz şeker;Közlenmiş biber;Karides;Cips;Pizza;Kalamar;Kuru üzüm;Közlenmiş biber;Yoğurt;Nar ekşisi;Un;Böğürtlen;Kahve likörü;Beyaz şarap;Soya sosu;Çikolata;Nohut;Ihlamur,Karamelli likör
Customer_226,Limon sos;Bira;Susam;Ayçiçek yağı;Kuru üzüm;Viski;Un;El mantısı;Patlıcan;Kuru üzüm;Acı Sos;Biber salçası;Kırmızı mercimek;Patates;Kırmızı şarap;İçli Köfte;Yoğurt;Toz şeker;Karabiber;Şehriye;Milföy,Karamelli likör
Customer_788,Kuru dut;Kuru üzüm;Köfte harcı;Kuru İncir;Nohut;Beyaz şarap;Tavuk Bulyon;Fasulye turşu;Krem şanti;Çörek otu;Un;El mantısı;Acı Sos;Viski;Közlenmiş biber;Makarna;Yer fıstığı;Domates salçası;Makarna,Karamelli likör
Customer_899,Yer fıstığı;Limon sos;Diş macunu;Ayçiçek yağı;Karabiber;Şehriye;Közlenmiş biber;Soya sosu;Karides;El mantısı;Erişte;Karides;Kuru kayısı;Un;Toz şeker;Kuru İncir;Tarçın;Biber salçası,Kurutulmuş Kivi
Customer_900,Çikolata;Kırı üzüm;Biber salçası;Çörek otu;Krem şanti;Sirke;Köfte harcı;Közlenmiş biber;Çörek otu;Patates;Karabiber;Sirke;Nohut;Kuru üzüm;Ayçiçek yağı;Toz şeker;Erişte;Kırmızı mercimek;Nohut;Susam;Bezelye;Beyaz şarap;Patlıcan,Karamelli likör
Customer_601,Baldo pirinç;Ayçiçek yağı;Tarçın;Patlıcan;Meksika fasülyesi;Patates;Jelibon;Tarçın;Kırı üzüm;Kuru kayısı;Ketçap;Közlenmiş biber;Karabiber;Biber salçası;Karides;Papatya çayı;Yer fıstığı;Patlıcan,Kinoa tohumu
Customer_133,Keçi boynuzu;Baldo pirinç;Kuru İncir;Kalamar;Sirke;Patates;Biber salçası;Yer fıstığı;Köfte;Garnitür;Köfte harcı;Kurabiye;Kırı üzüm;Ketçap;Kalamar;Makarna;Pizza,Kurutulmuş Kivi
Customer_686,Keçi boynuzu;Acı Sos;Viski;Garnitür;Ayçiçek yağı;Nane likörü;Közlenmiş biber;Krem şanti;Makarna;Tarçın;El mantısı;Kalamar;Sarımsak sosu;Yeşil çay;Meksika fasülyesi;Yulaf;Sirke;Acı Sos,Kinoa tohumu
Customer_308,Böğürtlen;Nohut;Yulaf;Keçi boynuzu;Çörek otu;Yer fıstığı;Bisküvi;Köfte harcı;Bira;Patlıcan;Bisküvi;Jelibon;Sarımsak sosu;Yeşil çay;Limon sos;Nar ekşisi;Biber salçası;El mantısı;Nohut,Kinoa tohumu
Customer_54,Pizza;Kırı üzüm;Sarımsak sosu;Bisküvi;Kalamar;Soya sosu;Nar ekşisi;Kurabiye;Kuru İncir;El mantısı;Kırmızı mercimek;Biber salçası;Yer fıstığı;Biber salçası;Milföy;Ketçap;Kuru kayısı,Kurutulmuş Kivi
Customer_441,Güneş kremi;Krem şanti;Sarımsak sosu;Bezelye;Baldo pirinç;Vücut losyonu;Közlenmiş biber;Sirke;Köfte harcı;Soya sosu;Pizza;Keçi boynuzu;Kırmızı mercimek;Jelibon;Diş fırçası;El mantısı;Toz şeker,Peeling krem
Customer_979,Şampuan;Diş macunu;Saç boyası;Yer fıstığı;Ketçap;Biber salçası;Şehriye;Ayçiçek yağı;Vücut losyonu;Kalamar;Patlıcan;Nemlendirici bakım kremi;Kurabiye;Kalem;Karabiber;Tarçın;Güneş kremi;Güneş kremi,Peeling krem
Customer_395,El mantısı;Kalamar;Karides;Domates salçası;Kahve likörü;Nar ekşisi;Limon sos;Erişte;Közlenmiş biber;Ketçap;Nar ekşisi;Kalamar;Nane likörü;Bira;Patlıcan;Yulaf;Çikolata;Kuru üzüm;Köfte harcı;Jelibon;Yeşil çay;Karides;Un;Sirke;Ketçap,Karamelli likör
Customer_37,Ton balığı;Kalem;Keçi boynuzu;Makarna;Çörek otu;Yer fıstığı;Közlenmiş biber;Meksika fasülyesi;Jelibon;Şehriye;Baldo pirinç;Zeytinyağı;Papatya çayı;Bezelye;Közlenmiş biber;Papatya çayı;Patates;Karabiber;Böğürtlen;El mantısı;Meksika fasülyesi;Susam;Köfte harcı;Ketçap;Bisküvi;Pizza,Kinoa tohumu
Customer_215,Biber salçası;Ketçap;Kuru dut;Közlenmiş biber;Vücut losyonu;Bezelye;Kurabiye;Saç kremi;Toz şeker;Limon sos;Böğürtlen;Garnitür;Patates;Sarımsak sosu;Şampuan;Bisküvi;Nohut;Pizza,Peeling krem
Customer_906,Bisküvi;Sirke;Çörek otu;Kırı üzüm;Karabiber;Limon sos;Ayçiçek yağı;Fasulye turşu;Jelibon;Yeşil çay;Meksika fasülyesi;Nohut;Acı Sos;Kuru dut;Yer fıstığı;Yoğurt;Nohut;Keçi boynuzu;Domates salçası;Ton balığı;İçli Köfte;Karides;Yer fıstığı;Erişte,Kinoa tohumu
Customer_415,Yoğurt;Kalamar;Kırı üzüm;Kırmızı şarap;Viski;Çörek otu;Limon sos;Beyaz şarap;Sirke;Böğürtlen;Sarımsak sosu;Limon sos;Kahve likörü;Ketçap;Çikolata;Kuru İncir;Şehriye;Karabiber;Nohut;Garnitür;Tarçın;El mantısı;Közlenmiş biber;Kalamar;Tavuk Bulyon;Karides;Yoğurt;Domates salçası,Karamelli likör
Customer_746,Jelibon;Keçi boynuzu;Ton balığı;Şampuan;Vücut losyonu;Güneş kremi;Kırmızı mercimek;Soya sosu;Nohut;Patlıcan;Patlıcan;Sirke;Pizza;Yulaf;Bezelye;Karabiber;Yer fıstığı,Kinoa tohumu
Customer_991,Limon sos;Ton balığı;Cips;Çikolata;Soya sosu;Susam;Meksika fasülyesi;Nane likörü;Un;Patlıcan;Kuru üzüm;Ketçap;Şehriye;Pizza;Zeytinyağı;Tarçın;Susam;Köfte;Erişte;Patates,Karamelli likör
Customer_923,Erişte;Milföy;Un;Nar ekşisi;Krem şanti;Viski;Biber salçası;Krem şanti;Kurabiye;El mantısı;Bira;Kalamar;Ketçap;Cips;Patates;Yer fıstığı;Nane likörü;Kırmızı mercimek;Ayçiçek yağı;Patlıcan;Bira;Zeytinyağı,Karamelli likör
Customer_566,Jelibon;Böğürtlen;Yoğurt;Saç kremi;El mantısı;Şampuan;Bisküvi;Karides;Acı Sos;Kuru dut;Domates salçası;Patlıcan;Limon sos;Pizza;Şehriye;Köfte harcı;Tavuk Bulyon;Kurabiye;Un;Kırı üzüm,Peeling krem
